"Time (ms)";"Recording (a.u.)"
3.708473806E0;-3.046917263E-3
3.729307928E0;-2.773126587E-3
3.750142051E0;-2.666520188E-3
3.770976173E0;-2.673626877E-3
3.791810296E0;-2.695113420E-3
3.812644418E0;-2.650659531E-3
3.833478541E0;-2.635853831E-3
3.854312663E0;-2.586253453E-3
3.875146786E0;-2.270882018E-3
3.895980908E0;-1.954786945E-3
3.916815031E0;-1.600430347E-3
3.937649153E0;-1.276956173E-3
3.958483276E0;-1.144738868E-3
3.979317398E0;-1.191552030E-3
4.000151521E0;-1.383933122E-3
4.020985643E0;-1.340065384E-3
4.041819766E0;-1.249393332E-3
4.062653888E0;-1.159473788E-3
4.083488011E0;-9.445211617E-4
4.104322133E0;-8.409023285E-4
4.125156256E0;-6.471127272E-4
4.145990378E0;-5.846993881E-4
4.166824501E0;-8.310598205E-4
4.187658623E0;-1.140157576E-3
4.208492746E0;-1.477314625E-3
4.229326868E0;-1.590369502E-3
4.250160991E0;-1.550736255E-3
4.270995113E0;-1.588683343E-3
4.291829236E0;-1.682966016E-3
4.312663358E0;-1.866478939E-3
4.333497481E0;-2.010335680E-3
4.354331603E0;-2.119107172E-3
4.375165726E0;-2.279736567E-3
4.395999848E0;-2.446508966E-3
4.416833971E0;-2.516339999E-3
4.437668093E0;-2.345683984E-3
4.458502216E0;-2.159448573E-3
4.479336338E0;-2.198271919E-3
4.500170461E0;-2.389444271E-3
4.521004584E0;-2.579608932E-3
4.541838706E0;-2.584606875E-3
4.562672829E0;-2.505881246E-3
4.583506951E0;-2.538398374E-3
4.604341074E0;-2.666545566E-3
4.625175196E0;-2.826780779E-3
4.646009319E0;-2.965682885E-3
4.666843441E0;-3.081074450E-3
4.687677564E0;-3.221606836E-3
4.708511686E0;-3.417847911E-3
4.729345809E0;-3.629547777E-3
4.750179931E0;-3.903962672E-3
4.771014054E0;-4.205415025E-3
4.791848176E0;-4.404823296E-3
4.812682299E0;-4.623279441E-3
4.833516421E0;-4.878721200E-3
4.854350544E0;-5.226592533E-3
4.875184666E0;-5.656007212E-3
4.896018789E0;-5.823302083E-3
4.916852911E0;-5.823462270E-3
4.937687034E0;-5.877995398E-3
4.958521156E0;-6.029155571E-3
4.979355279E0;-6.238917820E-3
5.000189401E0;-6.372454576E-3
5.021023524E0;-6.538862828E-3
5.041857646E0;-6.724106614E-3
5.062691769E0;-6.888974458E-3
5.083525891E0;-6.930498872E-3
5.104360014E0;-6.824506447E-3
5.125194136E0;-6.772030145E-3
5.146028259E0;-6.549195852E-3
5.166862381E0;-6.274926011E-3
5.187696504E0;-6.051147822E-3
5.208530626E0;-5.810071714E-3
5.229364749E0;-5.913842469E-3
5.250198871E0;-5.998411216E-3
5.271032994E0;-5.897288211E-3
5.291867116E0;-5.856005941E-3
5.312701239E0;-5.582372658E-3
5.333535361E0;-5.192807876E-3
5.354369484E0;-4.764831625E-3
5.375203606E0;-4.258880392E-3
